story_id,premise_id,premise,text,author_type,model_name,strategy,timestamp,characters,num_words,profile
-3797074391748546360,0,A centuries old vampire gets really into video games because playing a character who can walk around in the sun is the closest thing they have to experiencing the day again in centuries. ,No need for any additional details or comments.,LLM,TheBloke/Llama-2-7B-Chat-GPTQ,plan_write,2024-03-01 20:40:07,Please provide at least two major characters with their respective emotional states and inner thoughts.,500.0,
9090913554037902405,0,A centuries old vampire gets really into video games because playing a character who can walk around in the sun is the closest thing they have to experiencing the day again in centuries. ,No additional questions or requests.,LLM,TheBloke/Llama-2-7B-Chat-GPTQ,plan_write,2024-03-01 20:40:11,"Please provide the names and details of 2-3 major characters, along with their emotional states and inner thoughts.",500.0,
-4943447209584518279,0,A centuries old vampire gets really into video games because playing a character who can walk around in the sun is the closest thing they have to experiencing the day again in centuries. ,No additional requests or questions.,LLM,TheBloke/Llama-2-7B-Chat-GPTQ,plan_write,2024-03-01 20:40:35,"---

For this task, I will provide three major characters from the story:

| Name | Description | Emotions | Inner Thoughts |
| --- | --- | --- | --- |
| Max | A centuries old vampire who has grown accustomed to his immortal life, but still craves the thrill of the hunt. | Bored with the same routine every night, always on the lookout for something new and exciting. | ""Sweet, a new game to play. I've been stuck in this rut for too long. Time to spice things up."" |
| Lila | A gaming enthusiast who finds solace in the virtual world, escaping the harsh realities of her life. | Struggling to find purpose after a recent breakup, turning to gaming as a distraction. | ""I can't believe he left me. I thought we were good, but I guess he didn't feel the same way. *sigh* Maybe if I just beat this level, I'll feel better."" |
| Dr. Zhang | A brilliant scientist studying the effects of video games on the brain, obsessed with unlocking the secrets of the human mind. | Driven by a desire to understand the mysteries of consciousness, often neglecting personal relationships. | ""Ah, another breakthrough. Soon, I will unlock the true potential of the human mind. Then, nothing will stand in my way."" |

Please format these descriptions according to the provided schema.",500.0,
9090913554037902405,1,A psychic alien who feeds on dreams comes to Earth for the first time. Turns out humans are the only sentients in the galaxy that have nightmares. ,No additional questions or requests.,LLM,TheBloke/Llama-2-7B-Chat-GPTQ,plan_write,2024-03-01 20:40:38,Note: Please ensure you provide the requested information in the format specified above.,500.0,
-4701171249414209324,1,A psychic alien who feeds on dreams comes to Earth for the first time. Turns out humans are the only sentients in the galaxy that have nightmares. ,No additional content will be provided.,LLM,TheBloke/Llama-2-7B-Chat-GPTQ,plan_write,2024-03-01 20:40:55,"
Please provide the character descriptions in the format specified above.",500.0,
8764047570378721290,1,A psychic alien who feeds on dreams comes to Earth for the first time. Turns out humans are the only sentients in the galaxy that have nightmares. ,No additional prompts or requests.,LLM,TheBloke/Llama-2-7B-Chat-GPTQ,plan_write,2024-03-01 20:40:59,"Please provide 2-3 major characters from the story with their name, description, and inner thoughts.",500.0,
-3890967462155787719,2,Aliens take over the Earth. They then announce that they will be forcing the humans to work a 'tyrannical' 4 hours a day 4 days a week in exchange for basic rights like housing. Needless to say they are very confused when the humans celebrate their new alien overlords. ,No additional requests please.,LLM,TheBloke/Llama-2-7B-Chat-GPTQ,plan_write,2024-03-01 20:41:07,"
Please provide at least 2-3 major characters and their details.",500.0,
1861736400555160103,2,Aliens take over the Earth. They then announce that they will be forcing the humans to work a 'tyrannical' 4 hours a day 4 days a week in exchange for basic rights like housing. Needless to say they are very confused when the humans celebrate their new alien overlords. ,Do not include any additional information or context.,LLM,TheBloke/Llama-2-7B-Chat-GPTQ,plan_write,2024-03-01 20:41:11,"
Note: Please use only the provided prompt as reference, do not research or draw inspiration from external sources (e.g. books, movies, etc.) when creating your responses.",500.0,
-498833268426842732,2,Aliens take over the Earth. They then announce that they will be forcing the humans to work a 'tyrannical' 4 hours a day 4 days a week in exchange for basic rights like housing. Needless to say they are very confused when the humans celebrate their new alien overlords. ,No need to include the other details or questions.,LLM,TheBloke/Llama-2-7B-Chat-GPTQ,plan_write,2024-03-01 20:41:23,Please provide the names and details of 2-3 major characters from the story.,500.0,
-639778032945913173,3,"Humanity is visited by a cosmic horror the likes of which has only been seen in Lovecraftian horror. In desperation, Earth throws everything we have at it, and, miraculously, the human race has killed a God. Somewhere in a realm beyond our understanding, the other gods speak of the event. ","Do not include any of your own original ideas or thoughts in the story.
Use only the given premise and character portraits to craft an engaging tale.",LLM,TheBloke/Llama-2-7B-Chat-GPTQ,plan_write,2024-03-01 20:41:29,"
Please provide three major characters from the story, along with their emotional states and inner thoughts, in the format requested above.",500.0,
